"name","lat","long"
"Railway Station","28.33709999","79.41079999"
"Kathgodam","29.26932640","79.54411980"
"Thrikkakara","10.03270000","76.33190000"
"Patel Nagar","30.31022315","78.01955723"
"Airport","17.72769999","83.22369999"
"Koppa","13.53265799","75.35579269"
"Near Gaya Airport","24.74896030","84.94367929"
"Medical College","8.523702899","76.92770620"
"Ghatlodia","23.07476760","72.53559799"
"Jaipur Airport","26.81511000","75.82071000"
"Varanasi Cantt","25.33021349","82.96998890"
"Rambagh","25.43849200","81.84821399"
"Kailash Colony","28.55543259","77.24198219"
"Nadesar","25.33478630","82.98913009"
"Sector 47","30.69474840","76.76972010"
"Shanthi Colony","13.08363879","80.21609700"
"Rajendra Nagar","17.32033540","78.40180499"
"Dal Lake","34.11059000","74.86826000"
"Hauz Khas","28.54863630","77.20076704"
"Mohania","25.28908279","82.92889499"
"Medanta Hospital","28.43923799","77.04063700"
"Sahibabad","28.66535999","77.34932999"
"Phoenix Mall","18.56195999","73.91692999"
"IIM","25.55829100","91.90510500"
"Rushikonda Beach","17.78249999","83.38509999"
"Anand Vihar Terminal","28.64589229","77.31485259"
"Durgapura Railway Station","26.85497000","75.78703799"
"Golf Course","11.41976999","76.66803000"
"Yamuna Bridge","25.42312799","81.85054800"
"Lanka","25.28117509","82.99765990"
"Bus Stand","28.99708490","77.02352140"
"Ms Ramaiah Hospital Bangalore","13.02817409","77.56982539"
"Daryaganj","28.64484739","77.24037730"
"Navi Peth","18.50682000","73.84044000"
"Airport  ","31.70552089","74.80667189"
"T - Nagar","13.04050259","80.23369239"
"SS Colony","9.922409999","78.09586000"
"Marathahalli Bridge","12.95694720","77.70153519"
"Kulri","30.45684999","78.08010000"
"Phase 5 Mohali","30.71606759","76.71567570"
"Virar","19.45312799","72.81203399"
"Dilwara Temple","24.60938000","72.72298000"
"Railway Station","18.53222799","73.85172400"
"BHEL Industrial Area","23.25289000","77.44728999"
"Alkapuri","22.31457400","73.17465199"
"IMT Manesar","28.35428999","76.93981999"
"Railway Station","8.486957200","76.95267739"
"Tipu Sultan's Summer Palace","12.97159869","77.59456269"
"JB Nagar","19.10878999","72.86262999"
"Bicholim","15.58891919","73.96537150"
"Indian Institute of Technology, Madras","12.99149290","80.23369069"
"Indore Junction Station","22.71749110","75.86828260"
"Technopolis","22.58007080","88.43809600"
"Near Raneh Falls","24.87345859","80.05214780"
"Betalbatim","15.29674499","73.92388699"
"Chandoli","16.96246560","73.84925760"
"Krishna Temple","27.51541299","77.66546099"
"JSCA Stadium","23.31011099","85.27484099"
"New Town","22.57652429","88.47963439"
"Tata Steel","22.79845329","86.19201420"
"Central Agra","27.17640000","78.00790000"
"Andheri","19.11364500","72.86973389"
"HAL Airport","13.19863480","77.70659279"
"Ranipur","29.92549989","78.09086510"
"Sainik Farms","28.50688239","77.21122900"
"Gn Chetty Road","13.04648770","80.24269390"
"Lighthouse","19.78979599","85.80640400"
"Imagica","18.76719999","73.28100000"
"Yamuna Sports Complex","28.66458300","77.31162150"
"Bannimantap","12.33227800","76.65413130"
"Miet","28.97299999","77.64100000"
"Colaba - Churchgate","18.9352871 ","72.82723970"
"Kesavadasapuram","8.529227999","76.93981999"
"Sana Beach","21.65054059","87.65486549"
"Vashi","19.08029000","72.99855999"
"Gudhiyari","21.26088899","81.62023499"
"Pandav Nagar-Ghaziabad","28.66185640","77.47306530"
"Anashakti Ashram","29.84419970","79.60130429"
"Santacruz East","19.07937000","72.85625960"
" Vytilla","9.963813000","76.31415099"
" IIM","23.38333000","85.31651999"
"Marari Beach","9.601583099","76.29833229"
"Ruby","22.51333999","88.38282999"
"RRCAT","22.66592380","75.80109620"
"Railway Station","22.31141999","73.17991999"
"Near Maharaja Market","20.41684550","72.83358939"
"Kanchenjunga Stadium","26.71338000","88.42731000"
"Nehru Stadium","11.00658499","76.96952699"
"Sector 12","28.59625000","77.33961999"
"Taratala","22.51683750","88.30176769"
"Bambora","24.38764000","74.05109000"
"Airport","26.70934829","92.77554279"
"GUCEC","23.04431810","72.54020869"
"Cherai","10.14159530","76.17828330"
"River Cruise","15.49954999","73.83614000"
"Atta Market","28.57234499","77.32552800"
"Amrita Hospital ","10.03289999","76.29349999"
"Sector 2","28.58468999","77.31592999"
